"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"313","Not just milk...
Don't consume ice-cream, curd, milk-coffee, cheese, cream, milk makeup, milk body wash, milk choco… https://t.co/sG9xvl54EE",FALSE,0,NA,2019-03-31 11:06:42,TRUE,NA,"1112310244976160774",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Ra_V",0,FALSE,FALSE,NA,NA
"314","RT @mydrunkelephant: Surprise — meet #SLAAI! 💚 

Our makeup-melting 💧 cleansing balm. 
Removes all traces of dirt, makeup, even sunscreen ✅…",FALSE,0,NA,2019-03-31 09:43:38,FALSE,NA,"1112289339851968512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beauty_yeg",11,TRUE,FALSE,NA,NA
"315","me too plss

10 - 03 liner 
10 - GAY
10  - ults hyuck ☀️
10 - loves reading
10 - makeup!!
10 - painting!!
10 - stra… https://t.co/qDQhe30V3M",FALSE,2,NA,2019-03-31 09:22:07,TRUE,NA,"1112283925525745664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","staryuckie",0,FALSE,FALSE,NA,NA
"316","RT @baelaTV: Things that happened as we celebrated each milestone:
• I ate ceral w/ milk in the bowl
• @subcanis did Korean hot sauce shots…",FALSE,0,NA,2019-03-31 09:19:45,FALSE,NA,"1112283329917829125",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","subcanis",1,TRUE,FALSE,NA,NA
"317","Things that happened as we celebrated each milestone:
• I ate ceral w/ milk in the bowl
• @subcanis did Korean hot… https://t.co/1AItVPgbIj",FALSE,4,"baelaTV",2019-03-31 07:24:18,TRUE,"1112253933865426944","1112254275449585664","722609005638524929","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","baelaTV",1,FALSE,FALSE,NA,NA
"318","RT @VIVAVENGANZA: 🍰 cake ingredients 🍰
• eggs
• (aw)sugar
• butter
• buckets of sweat
•special vampire flour that's freshly scraped from ge…",FALSE,0,NA,2019-03-31 05:49:18,FALSE,NA,"1112230367325499392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ghost_orchid_",2,TRUE,FALSE,NA,NA
"319","🍰 cake ingredients 🍰
• eggs
• (aw)sugar
• butter
• buckets of sweat
•special vampire flour that's freshly scraped f… https://t.co/caYbKZvLyH",FALSE,9,NA,2019-03-31 05:11:31,TRUE,NA,"1112220859500888064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VIVAVENGANZA",2,FALSE,FALSE,NA,NA
"320","Dare Dipped Milk Chocolate Digestive Cookies 2 Pack (240g per Pack)
https://t.co/tZnN5IHvTl
#skincare #makeup… https://t.co/AQby0RFz6z",FALSE,0,NA,2019-03-31 04:53:52,TRUE,NA,"1112216415698735105",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KallonyPh",0,FALSE,FALSE,NA,NA
"321","Hi friends has anyone tried or does anyone use milk makeup products? Are they good?

I wanna try them just because… https://t.co/jDfKnMR8D1",FALSE,1,NA,2019-03-31 04:41:35,TRUE,NA,"1112213327730495489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alyssercalds",0,FALSE,FALSE,NA,NA
"322","• Glossier
• Milk makeup
• Cover FX
• Inika
• Axiology
• Kat Von D 
• Jeffree Star cosmetics",FALSE,0,NA,2019-03-31 04:38:41,FALSE,NA,"1112212595971407872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","veganselfcare1",0,FALSE,FALSE,NA,NA
